Gene,LogFC,P_value,P_adjusted
ABCB4,-0.08295149063702878,0.007380179543963276,0.06374573943829943
ABCB5,0.07133934403880526,0.2662721734817178,0.5063914721438725
ABCB6,0.00777989819188063,0.20695581255934467,0.4414072571153666
ABCB7,-0.006579227293705525,0.18874993055241934,0.41976466472115925
ABCB8,-0.008641954516097172,0.19484743354841005,0.4278505009191786
ABCB9,-0.017265120290156144,0.10394925753013379,0.3024831577321484
ABCC10,0.03059668853819808,0.17195211824270376,0.3990315691939709
ABCC11,-0.043551169172672655,0.5047037025556034,0.7143608247988692
ABCC1,0.012337413928265484,0.03201317652661662,0.15168209226467771
ABCC2,0.05619655288311143,0.20786309319803267,0.442312601366985
ABCC3,0.03834704873586592,0.22332759857420958,0.4605494554384336
ABCC4,0.02278345409193472,0.05740668659582711,0.2169050782579244
ABCC5,-0.040416354494172246,3.862613406186826e-05,0.0035580023986341736
ABCC6P1,-0.0004357674102160036,0.9948473348472887,0.9977175373559743
ABCC6P2,0.027469642583125786,0.5718191481168899,0.76354621745649
ABCC6,0.08772184965559449,0.02826715057516447,0.14102940121463867
ABCC8,0.15935504720758198,0.000676835482917444,0.01707931671190048
ABCC9,0.004234018769581294,0.855663416490144,0.932189905232859
ABCD1,-0.017505398547432716,0.018196333663672248,0.10863587497137378
ABCD2,-0.04537215527435823,0.3443910746192139,0.5846136310533258
ABCD3,0.012134304312670263,0.026272344892038092,0.13531806790023732
ABCD4,0.001549765534823333,0.7545146371609085,0.8785649312798575
ABCE1,0.0038810304720446887,0.4860777851199958,0.7006632835578497
ABCF1,6.582758360051955e-05,0.984546854782411,0.9924286048913477
ABCF2,-0.008904987694927424,0.013958567290557887,0.09328282124623022
ABCF3,-2.10385390904122e-05,0.9954778751658528,0.997997330647438
ABCG1,0.003286454701969088,0.7235468180168734,0.8617236044695987
ABCG2,-0.014879376189311344,0.4201049431558004,0.6485826644744417
ABCG4,-0.05728203430457346,0.24435848945073385,0.4841407643148017
ABCG5,0.06443239826734826,0.19371284395358282,0.42669486692895603
ABHD10,0.00848054635451767,0.1351541529638841,0.3481670731146156
ABHD11,-0.010905677930951096,0.2038965693521123,0.43762226131231463
ABHD12,-0.021517572664034645,0.010076759643167479,0.07658966845250854
ABHD13,0.017090168268806938,0.0033350647420863975,0.04137291802444559
ABHD14A,0.007864689951539994,0.4153053954491218,0.6448771081926855
ABHD14B,0.008830960401139176,0.17296770830860653,0.3997502002198772
ABHD15,0.0020171116677456524,0.8063175968535509,0.9062626368684241
