project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	8b94299e-7384-45ba-9532-8c545f9582d8	DTB-034	bc1f126b-3c05-4baf-b3b5-1d5e2510f9ca	DTB-034-N	'--	'--	ac38a49f-9d3d-5818-8954-1ed4235f80c4	'--	'--	'--	'--
WCDT-MCRPC	b3c04c83-ecaf-42e2-91be-b7ad669e806a	DTB-252	499e5bbf-4f67-412a-948c-8a338e3aaa37	DTB-252-N	'--	'--	f8e7ea6c-d32a-5f1c-a6ba-0ef4cc9d610c	'--	'--	'--	'--
WCDT-MCRPC	b3c04c83-ecaf-42e2-91be-b7ad669e806a	DTB-252	7cff684f-dd5d-4087-9625-5fec94607327	DTB-252-BL	'--	'--	5305b6eb-8126-555a-b108-0069e70012d4	'--	'--	'--	'--
WCDT-MCRPC	b3c04c83-ecaf-42e2-91be-b7ad669e806a	DTB-252	7cff684f-dd5d-4087-9625-5fec94607327	DTB-252-BL	'--	'--	9413ef7a-805e-5e8a-9ef0-5a42691c0cb4	'--	'--	'--	'--
WCDT-MCRPC	b3c04c83-ecaf-42e2-91be-b7ad669e806a	DTB-252	7cff684f-dd5d-4087-9625-5fec94607327	DTB-252-BL	'--	'--	bc1c49c5-a3d4-59e8-95eb-fb73492ac1c1	'--	'--	'--	'--
WCDT-MCRPC	37b40460-4cca-4284-a137-aa2433e04ee9	DTB-143	3b1e5bc8-acb7-4436-b456-98d82e2f11f0	DTB-143-BL	'--	'--	fffc0138-e102-528a-9a49-7dad5bfbc372	'--	'--	'--	'--
WCDT-MCRPC	37b40460-4cca-4284-a137-aa2433e04ee9	DTB-143	3b1e5bc8-acb7-4436-b456-98d82e2f11f0	DTB-143-BL	'--	'--	69e4aefa-45f3-5183-a3df-814a5e2310fa	'--	'--	'--	'--
WCDT-MCRPC	37b40460-4cca-4284-a137-aa2433e04ee9	DTB-143	3b1e5bc8-acb7-4436-b456-98d82e2f11f0	DTB-143-BL	'--	'--	21c0c666-d917-5d6b-ba3e-48d3f812d9df	'--	'--	'--	'--
WCDT-MCRPC	37b40460-4cca-4284-a137-aa2433e04ee9	DTB-143	d2733660-4bdb-4461-a683-3f6a7427cf89	DTB-143-N	'--	'--	66a44275-368e-5488-a476-8cba52eb8882	'--	'--	'--	'--
WCDT-MCRPC	90480a98-dce8-43a1-b413-ab85065b008b	DTB-260	939466e6-55e7-42c2-8ddf-8f9e62b3be58	DTB-260-BL	'--	'--	b5c32621-3d50-5c46-b0c4-3c3e72b45c59	'--	'--	'--	'--
WCDT-MCRPC	90480a98-dce8-43a1-b413-ab85065b008b	DTB-260	939466e6-55e7-42c2-8ddf-8f9e62b3be58	DTB-260-BL	'--	'--	8c1da1e4-1ad4-5b93-ad83-633f234fad11	'--	'--	'--	'--
WCDT-MCRPC	90480a98-dce8-43a1-b413-ab85065b008b	DTB-260	939466e6-55e7-42c2-8ddf-8f9e62b3be58	DTB-260-BL	'--	'--	16fb084c-cd78-5727-8288-b2f6961e64ea	'--	'--	'--	'--
WCDT-MCRPC	90480a98-dce8-43a1-b413-ab85065b008b	DTB-260	c1b44a8a-fbd6-4c4c-a0e2-9a96e064b23b	DTB-260-N	'--	'--	3afbf9ec-e0e4-59d1-a487-1ab9166c6781	'--	'--	'--	'--
WCDT-MCRPC	a7168a40-b5a6-42ce-aa7a-e7f7b4323879	DTB-204	2792c071-d554-4916-b526-c5952e8bb1c2	DTB-204-N	'--	'--	f46e5bbc-a18b-5cf8-bcd7-8e431ebc610f	'--	'--	'--	'--
WCDT-MCRPC	a7168a40-b5a6-42ce-aa7a-e7f7b4323879	DTB-204	91f12749-5e8a-4443-b353-be20a09058ef	DTB-204-BL	'--	'--	51ff8aee-6f28-5e57-b00f-27327639c37f	'--	'--	'--	'--
WCDT-MCRPC	a7168a40-b5a6-42ce-aa7a-e7f7b4323879	DTB-204	91f12749-5e8a-4443-b353-be20a09058ef	DTB-204-BL	'--	'--	8a385de1-5ee4-54ac-ad18-1b44e0dbb0d5	'--	'--	'--	'--
WCDT-MCRPC	a7168a40-b5a6-42ce-aa7a-e7f7b4323879	DTB-204	91f12749-5e8a-4443-b353-be20a09058ef	DTB-204-BL	'--	'--	235ad4ef-ef6c-56c2-a49a-a2cddcc62861	'--	'--	'--	'--
WCDT-MCRPC	60ff205f-8b1e-49b0-ab15-df34f16d6b89	DTB-036	9a496a3f-70c3-4951-8b7b-86fcfaa0d77e	DTB-036-N	'--	'--	b0dafce3-e595-5b38-8d1b-1000859950b0	'--	'--	'--	'--
WCDT-MCRPC	60ff205f-8b1e-49b0-ab15-df34f16d6b89	DTB-036	b88de1d6-ead5-4d53-8e31-ee42a145ae3c	DTB-036-BL	'--	'--	4313691e-799a-5b03-82f0-8d4e464d281e	'--	'--	'--	'--
WCDT-MCRPC	60ff205f-8b1e-49b0-ab15-df34f16d6b89	DTB-036	b88de1d6-ead5-4d53-8e31-ee42a145ae3c	DTB-036-BL	'--	'--	df974f7d-867d-5c72-bfb2-01f5d4312c56	'--	'--	'--	'--
